,loss,dice,val_loss,val_dice
0,0.1578872472047806,0.47656363248825073,0.10333455389454252,0.4764271676540375
1,0.09857405722141266,0.4763936996459961,0.09134099738938468,0.47647252678871155
2,0.0934624083340168,0.47653743624687195,0.09951073002247583,0.4784209430217743
3,0.08980255857110024,0.47981998324394226,0.1071515427458854,0.4810732901096344
4,0.08609121330082417,0.4820060431957245,0.103848611669881,0.48241859674453735
5,0.08487377166748047,0.4828360080718994,0.08869785921914237,0.4832705855369568
6,0.08324772030115128,0.48371630907058716,0.09577141773133051,0.4844917058944702
7,0.08160472080111504,0.48514172434806824,0.08154591669638951,0.4852961599826813
8,0.07974335573613643,0.48543983697891235,0.08617727032729558,0.4855090081691742
9,0.07873347029089928,0.4856174886226654,0.08728114728416715,0.4862343370914459
10,0.07621009692549706,0.4868048429489136,0.08400095608972367,0.4868612289428711
11,0.07703650958836078,0.48699456453323364,0.0803730736176173,0.48724856972694397
12,0.0741072091460228,0.4875013828277588,0.08066403014319283,0.4876403212547302
13,0.07326450780034065,0.4877546429634094,0.08755574304433096,0.4880165457725525
14,0.07202837191522121,0.4883374273777008,0.07944051903628167,0.48862960934638977
15,0.07151699520647525,0.4889277517795563,0.07897740460577465,0.48917147517204285
16,0.07065136328339577,0.4894068241119385,0.07810966262505167,0.48974609375
17,0.06940920293331146,0.4900735020637512,0.0833386636915661,0.49048441648483276
18,0.07075030781328678,0.49092578887939453,0.08279131778648921,0.4913312494754791
19,0.06988069079816342,0.49171268939971924,0.07643220023739905,0.4919861853122711
20,0.06930770263075829,0.49227064847946167,0.0785687526776677,0.4928191900253296
21,0.06749175578355789,0.4933510720729828,0.08486010418051765,0.4939629137516022
22,0.06680651724338532,0.4945310950279236,0.07094364364941914,0.4948402941226959
23,0.06619996659457683,0.4951351583003998,0.07523185085682642,0.4955303966999054
24,0.06652380555868148,0.4959303140640259,0.07920595879356067,0.49632611870765686
25,0.0655915492027998,0.496732622385025,0.07355322937170665,0.4970366656780243
26,0.06487682729959487,0.4973390996456146,0.08002254029824621,0.49770858883857727
27,0.06456210158765316,0.4980652928352356,0.07571550795719736,0.4984489977359772
